Country Name,Series Name,year,co2
China,CO2 emissions (kt),1991,2302185.2
China,CO3 emissions (kt),1992,2418175.3
China,CO4 emissions (kt),1993,2645411.7
China,CO5 emissions (kt),1994,2767666.4
China,CO6 emissions (kt),1995,3088620.2
China,CO7 emissions (kt),1996,3070505.1
China,CO8 emissions (kt),1997,3134112.6
China,CO9 emissions (kt),1998,3236278.6
China,CO10 emissions (kt),1999,3153661.1
China,CO11 emissions (kt),2000,3346525.8
China,CO12 emissions (kt),2001,3529081.3
China,CO13 emissions (kt),2002,3796157.1
China,CO14 emissions (kt),2003,4424412.6
China,CO15 emissions (kt),2004,5113216.6
China,CO16 emissions (kt),2005,5824625.1
China,CO17 emissions (kt),2006,6437470.3
China,CO18 emissions (kt),2007,6993182.8
China,CO19 emissions (kt),2008,7199604.7
China,CO20 emissions (kt),2009,7719071.4
China,CO21 emissions (kt),2010,8474922.7
China,CO22 emissions (kt),2011,9282553.7
China,CO23 emissions (kt),2012,9540539.7
China,CO24 emissions (kt),2013,9979128
China,CO25 emissions (kt),2014,10021043.4
China,CO26 emissions (kt),2015,9859281.2
China,CO27 emissions (kt),2016,9860914
China,CO28 emissions (kt),2017,10089273.2
China,CO29 emissions (kt),2018,10567262
China,CO30 emissions (kt),2019,10762824
China,CO31 emissions (kt),2020,10944686.2
